Nome,Prova 1,Prova 2,Trabalho
Andrew Tucker,1,4,8
Jennifer Harkins,1,4,9
Anthony Quiroz,4,5,9
Arnold Sorenson,1,4,8
John Jones,2,7,8
Jessica Grant,5,4,9
David Thomas,5,6,8
Wilma Casas,2,4,7
Stephen Tipka,1,5,9
Jacqueline Steffens,2,7,8
Lucille Mccall,2,4,9
Howard Lujan,3,3,7
Gabriel Medina,1,5,9
Santos Otis,3,4,8
Bryan Adams,2,6,9
Glenn Nelson,2,3,8
Margaret Winslow,1,5,9
Cedric Lewis,4,6,8
Karen Hinkle,1,8,10
George Longoria,2,3,9
Michael Farris,1,5,9
Harriett Renner,1,4,8
Victor Mathis,5,5,9
Philip Suarez,2,6,7
Dan Hein,0,5,9
Wanda Smith,1,6,9
Maria Fischl,3,6,8
Catherine Holland,2,4,9
Willie Morse,2,5,8
Valerie Goodrich,1,7,7
