Nome,Prova 1,Prova 2,Trabalho
Jacinta Chase,2,5,9
Leona Temple,1,6,10
Robert Roche,4,6,9
Marcelino Glancy,1,4,7
Richard Dunn,2,6,7
Lisa Mccleary,1,6,9
Judith Rauf,2,7,6
William Carroll,2,5,7
Randi Cruz,0,3,9
Johnny Honn,1,4,8
Gary Ruth,1,5,8
David Bilodeau,3,3,9
Herman Perez,2,4,9
Leslie Brockway,1,6,7
Alberta Eurich,2,3,9
Patrick Cunningham,1,7,9
Donald Cush,4,7,8
Beatrice Oconnor,2,6,8
Miranda Powell,2,6,8
Jose Gordon,5,6,9
Lawrence Atkins,2,5,7
William Vollstedt,2,5,8
Beverly Banuelos,3,7,6
Clarence Woodside,3,6,9
Phyllis Holohan,1,6,8
Rene Miller,1,6,8
Marcellus Cardenas,1,3,6
Kathryn Abbott,4,5,7
Belva Sherman,2,4,9
Travis Johns,2,4,8
