Nome,Prova 1,Prova 2,Trabalho
Violet Reilly,4.6,1.7,5.9
Pete Dighton,3.6,4.5,9.9
Monica Socia,0.0,5.8,9.1
Destiny Lewis,3.8,6.3,9.4
Desire Maupin,3.9,3.9,7.9
Janet Quinonez,7.2,5.3,8.3
Richard Parsons,0.1,8.0,5.7
Mark Pace,2.7,5.4,7.3
Henry Guadagno,3.1,7.7,8.3
Nick Russell,0.0,6.7,10.0
Brian Johnson,5.6,8.6,9.5
Lisa Rushing,2.4,3.1,9.4
Luke Velasquez,2.8,4.0,8.1
David Roy,4.6,7.9,7.8
Andrew Hillard,4.2,5.1,7.3
Marlys Jacoby,5.6,5.6,8.7
Norma Prindle,2.1,5.1,6.1
Richard Marlow,4.2,10.0,9.4
Jennifer Vargas,2.3,5.6,6.8
Daniel Nicholson,2.3,3.7,9.9
James Arehart,5.1,7.6,8.3
William Holley,7.1,8.1,9.1
Gloria Jones,5.3,7.0,5.9
Andy Fortier,4.1,8.7,8.9
Joel Trafton,3.2,2.7,9.0
Nathan Thomas,5.7,6.9,8.7
Sharon Wilburn,6.3,7.6,8.9
Irene Nelson,2.1,7.8,5.7
Teresa Grenier,5.7,6.8,7.8
Robert Henderson,3.0,4.5,6.3
