Nome,Prova 1,Prova 2,Trabalho
Joseph Beatty,0.7,4.6,9.0
Angelique Farmer,1.3,5.7,9.1
Cecilia Andrews,5.4,4.7,9.1
Vicki Fisher,2.9,7.3,7.9
Allison Rodrigez,4.7,5.1,5.0
Shirley Mathis,9.1,6.5,7.5
Jason Branch,4.0,4.7,9.3
Melissa Perry,3.7,8.1,7.5
Sharon Hoefler,6.1,8.4,7.1
Christopher Breitenstein,5.4,5.5,9.1
Terrance Hawkins,10.0,4.9,6.7
Rose Blankenship,6.6,5.9,6.7
Janice Taylor,5.3,7.2,10.0
Harry Burdette,7.7,8.3,5.8
David Cavallaro,1.2,6.0,8.1
Marvin Fote,4.5,8.1,10.0
Cindy Ziegler,3.0,3.2,7.8
Doris Ramos,7.0,5.6,9.5
Russell Dunn,4.9,7.0,8.7
Jacqueline Spurlin,4.0,7.6,10.0
Carmine Osorio,0.7,0.0,9.6
Kasey Hall,7.0,6.3,7.4
Gayle Fields,4.6,4.8,6.6
Katherine Defenbaugh,9.7,6.9,4.9
Emily Scott,0.0,8.2,6.0
Leonard Grayson,2.7,6.4,9.5
Stephine King,0.0,8.2,7.9
Russell Leblanc,2.5,6.6,8.6
Carol Pendleton,8.5,5.9,10.0
Lisa Coil,5.5,6.2,8.0
