Nome,Prova 1,Prova 2,Trabalho
Tonya Lee,10,10,9.5
Adam Finn,6.0,3.9,10.0
Roger Bowman,7.8,5.3,5.6
Melissa Elhard,-0.0,4.7,9.4
Angela Wiren,3.7,5.1,9.5
May Ross,5.4,6.7,8.5
Kimberly Savage,5.8,6.7,8.3
Lynn Rochon,5.1,7.5,9.9
Nichole Meeks,5.5,5.5,8.0
Jeffrey Meadows,0.4,7.8,8.4
Shawn Coney,5.5,3.6,7.2
Michael Tran,0.7,7.4,8.3
Linda Chavarria,0.0,3.8,9.2
Annie Nugent,1.2,6.1,8.2
Robert Jones,7.4,7.7,8.0
Elizabeth Johnson,2.8,10.0,7.1
Eric Canfield,0.8,8.5,9.3
David Nguyen,6.3,7.6,8.4
Raymond Jones,4.2,7.3,6.7
Brian Nolte,1.6,5.5,6.7
Marvin Ohanesian,7.5,7.5,8.1
Mable Woodward,8.4,3.2,10.0
Kelsey Salos,4.4,5.9,8.8
Michael Galloway,1.4,6.9,7.8
Joe Cessor,0.0,6.8,9.4
Richard Mattern,9.6,4.1,5.8
Lonnie Camp,9.8,3.7,7.6
Therese Simmons,3.0,1.8,7.0
Margaret Cervantes,4.9,3.8,6.4
Monte Walters,7.4,2.3,8.8
