Nome,Nota Final,Faltas,Horas Estudo
Vernon Copple,1,23,10
Kathy Garza,3,17,14
Donald Ring,5,5,26
Robert Campbell,6,6,21
Frank Lane,0,28,8
Antoinette Hargrove,0,27,9
Sherri Gallagher,8,1,35
Kristopher Gilmore,1,21,7
Patrick Watkins,2,19,15
Mable Windham,4,15,22
Beth Vanegas,1,18,8
Marsha Metzger,6,1,25
Brian Dixie,8,3,31
Harriet Webb,3,16,13
Terry Mcgough,5,12,23
Maria Hinton,3,13,13
Patricia Stclair,7,3,32
Karen Bertrand,0,27,0
Kristen Bouchard,3,11,18
Marion Krol,0,30,1
Ruth Weston,2,18,12
Monique Romero,4,14,19
Stephanie Harvey,8,0,33
John Decelle,5,10,23
Joyce Hawkins,7,6,25
Grace Clark,5,12,24
Beulah Martin,7,4,29
Ernestine Vasquez,4,12,18
Joseph Bonnet,4,8,22
Joseph Giordano,3,16,14
